StockCode,Description,TotalQuaantity,AvgQuantity,TotalRevenue,AvgRevenue,OrderCount
10002,INFLATABLE POLITICAL GLOBE ,823,16.8,699.55,14.28,49
10080,GROOVY CACTUS INFLATABLE,291,13.86,114.41,5.45,21
10120,DOGGY RUBBER,193,6.43,40.53,1.35,29
10123C,HEARTS WRAPPING TAPE ,5,1.67,3.25,1.08,3
10124A,SPOTS ON RED BOOKCOVER TAPE,16,3.2,6.72,1.34,5
10124G,ARMY CAMO BOOKCOVER TAPE,17,4.25,7.14,1.78,4
10125,MINI FUNKY DESIGN TAPES,1226,19.16,930.3,14.54,61
10133,COLOURING PENCILS BROWN TUBE,2384,19.23,1143.61,9.22,122
10135,COLOURING PENCILS BROWN TUBE,1938,16.02,1786.69,14.77,117
11001,ASSTD DESIGN RACING CAR PEN,1252,19.56,1953.0,30.52,62
15030,FAN BLACK FRAME ,143,11.0,41.47,3.19,12
15034,PAPER POCKET TRAVELING FAN ,6419,70.54,697.06,7.66,91
15036,ASSORTED COLOURS SILK FAN,21876,67.31,16044.44,49.37,324
15039,SANDALWOOD FAN,1559,21.96,1133.15,15.96,70
15044A,PINK PAPER PARASOL ,428,5.42,1248.28,15.8,78
15044B,BLUE PAPER PARASOL ,307,6.4,865.65,18.03,48
15044C,PURPLE PAPER PARASOL,272,4.46,782.4,12.83,60
15044D,RED PAPER PARASOL,630,8.51,1735.74,23.46,73
15056BL,EDWARDIAN PARASOL BLACK,2599,8.96,14327.67,49.41,290
15056N,EDWARDIAN PARASOL NATURAL,3826,10.02,20696.71,54.18,378
15056P,EDWARDIAN PARASOL PINK,769,5.61,4254.16,31.05,135
15058A,BLUE POLKADOT GARDEN PARASOL,148,2.9,1104.6,21.66,51
15058B,PINK POLKADOT GARDEN PARASOL,115,2.8,866.25,21.13,41
15058C,ICE CREAM DESIGN GARDEN PARASOL,193,6.43,894.35,29.81,30
15060B,FAIRY CAKE DESIGN UMBRELLA,411,4.33,1482.87,15.61,95
16008,SMALL FOLDING SCISSOR(POINTED EDGE),2892,41.31,360.71,5.15,70
16010,FOLDING CAMPING SCISSOR W/KNIF & S,30,10.0,3.6,1.2,3
16011,ANIMAL STICKERS,1773,37.72,372.33,7.92,46
16012,FOOD/DRINK SPONGE STICKERS,1244,33.62,261.24,7.06,35
16014,SMALL CHINESE STYLE SCISSOR,10328,194.87,3375.76,63.69,53
16015,MEDIUM CHINESE STYLE SCISSOR,662,27.58,289.98,12.08,24
16016,LARGE CHINESE STYLE SCISSOR,1273,19.58,1053.45,16.21,65
16020C,CLEAR STATIONERY BOX SET ,6,3.0,5.1,2.55,2
16033,MINI HIGHLIGHTER PENS,840,210.0,100.8,25.2,4
16043,POP ART PUSH DOWN RUBBER ,98,49.0,11.76,5.88,2
16045,POPART WOODEN PENCILS ASST,8900,128.99,380.0,5.51,68
16046,TEATIME PEN CASE & PENS,67,4.19,56.95,3.56,13
16048,TEATIME ROUND PENCIL SHARPENER ,1437,29.33,186.84,3.81,47
16049,TEATIME GEL PENS ASST,504,100.8,82.08,16.42,5
16052,TEATIME PUSH DOWN RUBBER,467,77.83,105.29,17.55,6
16054,POPART RECT PENCIL SHARPENER ASST,1166,35.33,140.52,4.26,33
16151A,FLOWERS HANDBAG blue and orange,49,16.33,61.25,20.42,3
16156L,"WRAP, CAROUSEL",475,26.39,199.5,11.08,18
16156S,WRAP PINK FAIRY CAKES ,5800,34.73,2331.0,13.96,167
16161G,WRAP BAD HAIR DAY,700,31.82,70.0,3.18,22
16161M,WRAP  PINK FLOCK,25,25.0,10.5,10.5,1
16161P,WRAP ENGLISH ROSE ,7226,29.02,2990.92,12.01,248
16161U,WRAP SUKI AND FRIENDS,4075,30.41,1687.5,12.59,134
16162L,THE KING GIFT BAG,17,2.83,11.05,1.84,6
16162M,THE KING GIFT BAG 25x24x12cm,26,3.71,10.92,1.56,7
16168M,FUNKY MONKEY GIFT BAG MEDIUM,329,16.45,138.18,6.91,20
16169E,WRAP 50'S  CHRISTMAS,4563,30.42,1892.46,12.62,149
16169K,WRAP FOLK ART,200,25.0,84.0,10.5,8
16169M,WRAP DAISY CARPET ,660,25.38,277.2,10.66,25
16169N,WRAP BLUE RUSSIAN FOLKART,25,25.0,10.5,10.5,1
16169P,WRAP GREEN RUSSIAN FOLKART ,50,25.0,21.0,10.5,2
16202A,PASTEL PINK PHOTO ALBUM ,7,3.5,3.5,1.75,2
16202B,PASTEL BLUE PHOTO ALBUM ,29,14.5,14.5,7.25,2
16202E,BLACK PHOTO ALBUM ,15,5.0,7.5,2.5,3
16206B,RED PURSE WITH PINK HEART,7,3.5,8.75,4.38,2
16207A,PINK STRAWBERRY HANDBAG ,13,2.6,38.35,7.67,5
16207B,PINK HEART RED HANDBAG,4,1.33,11.31,3.77,3
16216,LETTER SHAPE PENCIL SHARPENER,3316,80.88,227.14,5.54,41
16218,CARTOON  PENCIL SHARPENERS,3760,75.2,253.2,5.06,50
16219,HOUSE SHAPE PENCIL SHARPENER,2915,62.02,309.9,6.59,47
16225,RATTLE SNAKE EGGS,762,9.9,599.34,7.78,75
16235,RECYCLED PENCIL WITH RABBIT ERASER,2665,32.9,525.75,6.49,80
16236,KITTY PENCIL ERASERS,1296,17.75,266.56,3.65,73
16237,SLEEPING CAT ERASERS,4598,27.21,886.08,5.24,162
16238,PARTY TIME PENCIL ERASERS,1261,15.76,265.51,3.32,78
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,7,3.5,7.85,3.92,2
16248B,BLUE HOLE PUNCH,13,1.86,16.25,2.32,7
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,31,3.44,27.91,3.1,9
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,445,11.71,156.53,4.12,38
16259,PIECE OF CAMO STATIONERY SET,3380,109.03,326.56,10.53,31
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,72,72.0,20.88,20.88,1
17003,BROCADE RING PURSE ,22963,109.87,5980.05,28.61,206
17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,24,12.0,50.4,25.2,2
17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,80,13.33,62.15,10.36,6
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET ,270,10.8,244.9,9.8,24
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,455,12.64,422.55,11.74,36
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET ,363,8.25,344.35,7.83,43
17012D,ORIGAMI ROSE INCENSE/CANDLE SET ,387,8.41,366.35,7.96,44
17012E,ORIGAMI OPIUM INCENSE/CANDLE SET ,59,14.75,52.05,13.01,3
17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,365,8.69,329.05,7.83,42
17013D,ORIGAMI ROSE INCENSE IN TUBE,532,48.36,257.88,23.44,11
17014A,ORIGAMI VANILLA INCENSE CONES,154,22.0,67.83,9.69,7
17021,NAMASTE SWAGAT INCENSE,2427,42.58,643.14,11.28,47
17028J,INCENSE BAZAAR PEACH,6,6.0,2.52,2.52,1
17038,PORCELAIN BUDAH INCENSE HOLDER,1501,79.0,138.1,7.27,19
17084A,TRANQUILITY MASALA INCENSE,200,28.57,42.0,6.0,7
17084J,LOVE POTION MASALA INCENSE,225,28.12,47.25,5.91,8
17084N,FAIRY DREAMS INCENSE ,1025,32.03,212.75,6.65,32
17084P,DRAGONS BLOOD INCENSE,349,26.85,73.29,5.64,13
17084R,ASSORTED INCENSE PACK,4032,149.33,760.32,28.16,27
17090A,LAVENDER INCENSE 40 CONES IN TIN,109,10.9,107.45,10.74,10
17090D,VANILLA INCENSE 40 CONES IN TIN,29,2.23,36.25,2.79,12
17091A,LAVENDER INCENSE IN TIN,172,6.62,99.29,3.82,25
17091J,VANILLA INCENSE IN TIN,2066,22.7,876.34,9.63,87
17096,ASSORTED LAQUERED INCENSE HOLDERS,2516,193.54,443.76,34.14,13
17107D,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",171,3.64,436.05,9.28,46
17109D,FLOWER FAIRY INCENSE BOUQUET,61,12.2,32.35,6.47,5
17129F,BLUE GLASS GEMS IN BAG,427,22.47,291.25,15.33,19
17136A,BLUE STONES ON WIRE FOR CANDLE,404,20.2,33.75,1.69,17
17164B,ASS COL SMALL SAND GECKO P'WEIGHT,29,2.9,12.18,1.22,9
17165D,ASS COL LARGE SAND FROG P'WEIGHT,27,3.86,28.35,4.05,7
17174,ASSTD RASTA KEY-CHAINS,9,3.0,3.78,1.26,3
17191A,ROSE FLOWER CANDLE+INCENSE 16X16CM,4,2.0,15.0,7.5,2
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,5856,325.33,383.76,21.32,17
18094C,WHITE AND BLUE CERAMIC OIL BURNER,134,8.93,153.1,10.21,15
18097A,PINK TALL PORCELAIN T-LIGHT HOLDER ,5,1.25,12.75,3.19,4
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,673,12.02,1471.35,26.27,52
18098C,PORCELAIN BUTTERFLY OIL BURNER,193,5.08,540.55,14.23,36
20615,BLUE POLKADOT PASSPORT COVER,231,6.6,233.34,6.67,35
20616,CHERRY BLOSSOM PASSPORT COVER,134,5.36,122.78,4.91,25
20617,FIRST CLASS PASSPORT COVER ,66,2.54,137.74,5.3,26
20618,QUEEN OF THE SKIES PASSPORT COVER ,68,2.43,137.88,4.92,28
20619,TROPICAL PASSPORT COVER ,142,6.45,206.23,9.37,22
20622,VIPPASSPORT COVER ,163,4.94,240.18,7.28,32
20652,BLUE POLKADOT LUGGAGE TAG ,150,4.17,194.76,5.41,33
20653,CHERRY BLOSSOM LUGGAGE TAG,33,5.5,43.67,7.28,6
20654,FIRST CLASS LUGGAGE TAG ,105,4.38,126.69,5.28,23
20655,QUEEN OF SKIES LUGGAGE TAG,89,2.62,109.11,3.21,34
20657,TROPICAL LUGGAGE TAG,61,2.77,76.39,3.47,22
20658,RED RETROSPOT LUGGAGE TAG,328,5.29,410.0,6.61,59
20659,ECONOMY LUGGAGE TAG,95,2.97,140.81,4.4,29
20661,BLUE POLKADOT PURSE ,9,1.8,35.07,7.01,5
20662,FIRST CLASS HOLIDAY PURSE ,11,2.2,40.97,8.19,5
20663,QUEEN OF THE SKIES HOLIDAY PURSE ,3,1.0,11.69,3.9,3
20664,TROPICAL HOLIDAY PURSE ,6,2.0,17.7,5.9,3
20665,RED RETROSPOT PURSE ,340,4.66,998.2,13.67,73
20666,ECONOMY HOLIDAY PURSE,4,1.0,11.8,2.95,4
20667,CHERRY BLOSSOM PURSE,1,1.0,2.95,2.95,1
20668,DISCO BALL CHRISTMAS DECORATION,12714,67.63,1408.56,7.49,181
20669,RED HEART LUGGAGE TAG,195,4.15,243.75,5.19,42
20670,VIP HOLIDAY PURSE,8,1.33,29.28,4.88,6
20671,BLUE TEATIME PRINT BOWL ,10,5.0,12.5,6.25,2
20674,GREEN POLKADOT BOWL,1373,9.03,1649.06,10.85,149
20675,BLUE POLKADOT BOWL,2729,12.08,3179.9,14.07,223
20676,RED RETROSPOT BOWL,4363,14.35,5046.98,16.6,298
20677,PINK POLKADOT BOWL,3159,14.1,3642.58,16.26,220
20678,LARGE BLACK DIAMANTE HAIRSLIDE,4,4.0,6.6,6.6,1
20679,EDWARDIAN PARASOL RED,1630,6.01,9055.87,33.42,270
20681,PINK POLKADOT CHILDRENS UMBRELLA,125,3.68,406.25,11.95,33
20682,RED RETROSPOT CHILDRENS UMBRELLA,1140,6.23,3629.66,19.83,182
20684,STRAWBERRY DREAM CHILDS UMBRELLA,78,2.36,253.5,7.68,32
20685,DOORMAT RED RETROSPOT,2801,4.88,20359.85,35.47,571
20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,255,3.92,832.13,12.8,64
20694,FLORAL PINK MONSTER,36,3.27,135.0,12.27,10
20695,FLORAL BLUE MONSTER,5,1.25,21.25,5.31,4
20696,FLORAL SOFT CAR TOY,32,3.2,120.0,12.0,10
20697,LITTLE GREEN MONSTER SOFT TOY,19,1.73,48.45,4.4,9
20698,LITTLE PINK MONSTER SOFT TOY,16,2.0,40.8,5.1,7
20699,MOUSEY LONG LEGS SOFT TOY,29,2.64,73.95,6.72,11
20700,GREEN CAT FLORAL CUSHION COVER ,10,2.5,37.5,9.38,4
20701,PINK CAT FLORAL CUSHION COVER ,6,2.0,22.5,7.5,3
20702,PINK PADDED MOBILE,128,3.12,544.0,13.27,40
20703,BLUE PADDED SOFT MOBILE,1,1.0,4.25,4.25,1
20704,MR ROBOT SOFT TOY,211,5.41,626.45,16.06,39
20705,MRS ROBOT SOFT TOY,143,5.11,428.85,15.32,28
20707,CRAZY DAISY HEART DECORATION,155,5.0,195.52,6.31,31
20711,JUMBO BAG TOYS ,3598,14.63,6699.28,27.23,244
20712,JUMBO BAG WOODLAND ANIMALS,8187,16.47,15511.6,31.21,492
20713,JUMBO BAG OWLS,9766,23.25,17921.92,42.67,410
20716,PARTY FOOD SHOPPER BAG,314,8.97,373.5,10.67,34
20717,STRAWBERRY SHOPPER BAG,2036,8.63,2455.88,10.41,231
20718,RED RETROSPOT SHOPPER BAG,4264,10.93,5115.31,13.12,384
20719,WOODLAND CHARLOTTE BAG,9237,16.92,7277.24,13.33,531
20723,STRAWBERRY CHARLOTTE BAG,6847,13.69,5520.95,11.04,492
20724,RED RETROSPOT CHARLOTTE BAG,12809,17.06,10125.85,13.48,739
20725,LUNCH BAG RED RETROSPOT,17897,13.59,28338.45,21.52,1289
20726,LUNCH BAG WOODLAND,9115,10.83,14537.11,17.26,820
