CustomerID,Cluster,Segment
12347.0,3,New/Occasional
12348.0,0,At-Risk Customers
12349.0,0,At-Risk Customers
12350.0,1,VIP Customers
12352.0,3,New/Occasional
12353.0,1,VIP Customers
12354.0,1,VIP Customers
12355.0,1,VIP Customers
12356.0,0,At-Risk Customers
12357.0,3,New/Occasional
12358.0,0,At-Risk Customers
12359.0,3,New/Occasional
12360.0,0,At-Risk Customers
12361.0,1,VIP Customers
12362.0,3,New/Occasional
12363.0,0,At-Risk Customers
12364.0,0,At-Risk Customers
12365.0,1,VIP Customers
12367.0,0,At-Risk Customers
12370.0,3,New/Occasional
12371.0,0,At-Risk Customers
12372.0,0,At-Risk Customers
12373.0,1,VIP Customers
12374.0,0,At-Risk Customers
12375.0,0,At-Risk Customers
12377.0,1,VIP Customers
12378.0,3,New/Occasional
12379.0,0,At-Risk Customers
12380.0,3,New/Occasional
12381.0,0,At-Risk Customers
12383.0,1,VIP Customers
12384.0,0,At-Risk Customers
12386.0,1,VIP Customers
12388.0,3,New/Occasional
12390.0,0,At-Risk Customers
12391.0,0,At-Risk Customers
12393.0,0,At-Risk Customers
12394.0,0,At-Risk Customers
12395.0,3,New/Occasional
12397.0,0,At-Risk Customers
12398.0,0,At-Risk Customers
12399.0,0,At-Risk Customers
12401.0,1,VIP Customers
12402.0,1,VIP Customers
12403.0,0,At-Risk Customers
12405.0,0,At-Risk Customers
12406.0,3,New/Occasional
12407.0,0,At-Risk Customers
12408.0,3,New/Occasional
12409.0,2,Loyal Regulars
12410.0,1,VIP Customers
12412.0,0,At-Risk Customers
12413.0,0,At-Risk Customers
12414.0,1,VIP Customers
12417.0,3,New/Occasional
12418.0,0,At-Risk Customers
12420.0,0,At-Risk Customers
12421.0,0,At-Risk Customers
12422.0,0,At-Risk Customers
12423.0,3,New/Occasional
12424.0,1,VIP Customers
12425.0,0,At-Risk Customers
12426.0,1,VIP Customers
12427.0,0,At-Risk Customers
12428.0,3,New/Occasional
12429.0,3,New/Occasional
12430.0,0,At-Risk Customers
12431.0,2,Loyal Regulars
12432.0,3,New/Occasional
12433.0,2,Loyal Regulars
12434.0,0,At-Risk Customers
12435.0,3,New/Occasional
12436.0,0,At-Risk Customers
12437.0,2,Loyal Regulars
12438.0,0,At-Risk Customers
12441.0,1,VIP Customers
12442.0,0,At-Risk Customers
12444.0,3,New/Occasional
12445.0,0,At-Risk Customers
12446.0,0,At-Risk Customers
12447.0,1,VIP Customers
12448.0,0,At-Risk Customers
12449.0,3,New/Occasional
12450.0,1,VIP Customers
12451.0,3,New/Occasional
12452.0,0,At-Risk Customers
12453.0,0,At-Risk Customers
12454.0,0,At-Risk Customers
12455.0,3,New/Occasional
12456.0,3,New/Occasional
12457.0,3,New/Occasional
12458.0,0,At-Risk Customers
12461.0,0,At-Risk Customers
12462.0,0,At-Risk Customers
12463.0,0,At-Risk Customers
12464.0,3,New/Occasional
12465.0,0,At-Risk Customers
12468.0,1,VIP Customers
12472.0,3,New/Occasional
12473.0,3,New/Occasional
12474.0,2,Loyal Regulars
12475.0,0,At-Risk Customers
12476.0,3,New/Occasional
12477.0,2,Loyal Regulars
12478.0,0,At-Risk Customers
12479.0,0,At-Risk Customers
12480.0,3,New/Occasional
12481.0,3,New/Occasional
12483.0,3,New/Occasional
12484.0,3,New/Occasional
12488.0,0,At-Risk Customers
12489.0,1,VIP Customers
12490.0,3,New/Occasional
12491.0,0,At-Risk Customers
12492.0,0,At-Risk Customers
