Date,Revenue,Order,Quantity,DayOfWeek,Month,Year
2010-12-01,43616.49,120,23351,Wednesday,12,2010
2010-12-02,43252.53,136,27774,Thursday,12,2010
2010-12-03,22607.71,56,11719,Friday,12,2010
2010-12-05,31771.600000000002,87,16449,Sunday,12,2010
2010-12-06,28262.440000000002,94,15655,Monday,12,2010
2010-12-07,28955.37,71,12938,Tuesday,12,2010
2010-12-08,39248.82,111,21573,Wednesday,12,2010
2010-12-09,32523.260000000002,96,15831,Thursday,12,2010
2010-12-10,30671.88,72,15779,Friday,12,2010
2010-12-12,17305.77,43,10599,Sunday,12,2010
2010-12-13,27642.68,64,15335,Monday,12,2010
2010-12-14,28134.3,80,17496,Tuesday,12,2010
2010-12-15,28533.32,70,17868,Wednesday,12,2010
2010-12-16,43871.88,113,26413,Thursday,12,2010
2010-12-17,20046.56,55,11407,Friday,12,2010
2010-12-19,7417.39,18,3739,Sunday,12,2010
2010-12-20,19621.96,50,13445,Monday,12,2010
2010-12-21,15951.66,27,11068,Tuesday,12,2010
2010-12-22,4886.52,14,3074,Wednesday,12,2010
2010-12-23,5648.97,17,3222,Thursday,12,2010
2011-01-04,12125.460000000001,35,6959,Tuesday,1,2011
2011-01-05,25783.23,47,17291,Wednesday,1,2011
2011-01-06,33340.19,46,21298,Thursday,1,2011
2011-01-07,23797.79,47,15122,Friday,1,2011
2011-01-09,15778.2,48,8202,Sunday,1,2011
2011-01-10,15346.83,34,9387,Monday,1,2011
2011-01-11,20382.24,50,11653,Tuesday,1,2011
2011-01-12,17153.94,42,7899,Wednesday,1,2011
2011-01-13,15171.31,41,8312,Thursday,1,2011
2011-01-14,35555.22,38,20708,Friday,1,2011
2011-01-16,7242.06,25,4204,Sunday,1,2011
2011-01-17,16597.35,46,8714,Monday,1,2011
2011-01-18,10405.51,31,6403,Tuesday,1,2011
2011-01-19,21646.78,33,15902,Wednesday,1,2011
2011-01-20,15244.73,34,8185,Thursday,1,2011
2011-01-21,24279.76,34,12697,Friday,1,2011
2011-01-23,10400.25,27,5241,Sunday,1,2011
2011-01-24,17632.37,44,9601,Monday,1,2011
2011-01-25,24119.3,59,14519,Tuesday,1,2011
2011-01-26,17490.82,53,10455,Wednesday,1,2011
2011-01-27,22157.03,50,10950,Thursday,1,2011
2011-01-28,17273.5,37,9174,Friday,1,2011
2011-01-30,6615.75,24,3431,Sunday,1,2011
2011-01-31,18818.08,57,12426,Monday,1,2011
2011-02-01,26376.5,58,15013,Tuesday,2,2011
2011-02-02,17145.23,56,8931,Wednesday,2,2011
2011-02-03,20556.8,45,14954,Thursday,2,2011
2011-02-04,18114.31,45,11264,Friday,2,2011
2011-02-06,3457.11,11,2048,Sunday,2,2011
2011-02-07,13682.41,37,6362,Monday,2,2011
2011-02-08,14168.03,38,8693,Tuesday,2,2011
2011-02-09,11920.78,23,6145,Wednesday,2,2011
2011-02-10,14198.51,40,11784,Thursday,2,2011
2011-02-11,16343.460000000001,37,7179,Friday,2,2011
2011-02-13,5713.63,20,2756,Sunday,2,2011
2011-02-14,21884.63,35,11287,Monday,2,2011
2011-02-15,37784.65,53,22107,Tuesday,2,2011
2011-02-16,23499.22,62,15768,Wednesday,2,2011
2011-02-17,17674.79,55,12762,Thursday,2,2011
2011-02-18,14463.06,35,8642,Friday,2,2011
2011-02-20,9624.69,26,5353,Sunday,2,2011
2011-02-21,32801.73,33,20432,Monday,2,2011
2011-02-22,25957.56,49,17024,Tuesday,2,2011
2011-02-23,19348.07,53,12164,Wednesday,2,2011
2011-02-24,21472.89,53,11563,Thursday,2,2011
2011-02-25,17082.29,44,9835,Friday,2,2011
2011-02-27,9526.5,33,4870,Sunday,2,2011
2011-02-28,15107.02,51,8420,Monday,2,2011
2011-03-01,22407.87,56,11478,Tuesday,3,2011
2011-03-02,17044.49,41,8463,Wednesday,3,2011
2011-03-03,30385.05,46,18851,Thursday,3,2011
2011-03-04,17322.47,45,12942,Friday,3,2011
2011-03-06,9997.42,26,5048,Sunday,3,2011
2011-03-07,20285.68,58,11112,Monday,3,2011
2011-03-08,22230.61,44,13841,Tuesday,3,2011
2011-03-09,19187.87,51,10914,Wednesday,3,2011
2011-03-10,24431.72,52,15223,Thursday,3,2011
2011-03-11,17521.66,46,9248,Friday,3,2011
2011-03-13,4148.12,16,2749,Sunday,3,2011
2011-03-14,26009.25,48,16757,Monday,3,2011
2011-03-15,14936.43,41,7937,Tuesday,3,2011
2011-03-16,21820.66,50,12907,Wednesday,3,2011
2011-03-17,25098.94,56,14852,Thursday,3,2011
2011-03-18,23398.74,52,13258,Friday,3,2011
2011-03-20,20084.8,57,13630,Sunday,3,2011
2011-03-21,16051.05,48,9456,Monday,3,2011
2011-03-22,19064.29,41,13503,Tuesday,3,2011
2011-03-23,21578.8,59,13934,Wednesday,3,2011
2011-03-24,28728.34,68,16136,Thursday,3,2011
2011-03-25,21789.43,51,12002,Friday,3,2011
2011-03-27,9224.4,31,4529,Sunday,3,2011
2011-03-28,18887.66,58,11465,Monday,3,2011
2011-03-29,35078.52,50,22903,Tuesday,3,2011
2011-03-30,29587.420000000002,66,20143,Wednesday,3,2011
2011-03-31,25688.61,59,14984,Thursday,3,2011
2011-04-01,23670.98,67,17449,Friday,4,2011
2011-04-03,6918.5,19,5667,Sunday,4,2011
2011-04-04,23328.83,53,12867,Monday,4,2011
2011-04-05,22199.07,44,14011,Tuesday,4,2011
2011-04-06,12722.32,37,8025,Wednesday,4,2011
2011-04-07,16827.77,61,10100,Thursday,4,2011
2011-04-08,20852.85,64,12297,Friday,4,2011
2011-04-10,9913.98,32,5632,Sunday,4,2011
2011-04-11,20184.14,59,13133,Monday,4,2011
2011-04-12,24023.96,60,14607,Tuesday,4,2011
2011-04-13,23365.06,59,17713,Wednesday,4,2011
2011-04-14,34726.38,82,18238,Thursday,4,2011
2011-04-15,18021.481,41,11100,Friday,4,2011
2011-04-17,12725.5,42,8183,Sunday,4,2011
2011-04-18,22177.66,61,17224,Monday,4,2011
2011-04-19,17882.84,52,12461,Tuesday,4,2011
2011-04-20,25718.95,62,17856,Wednesday,4,2011
2011-04-21,27804.47,71,17081,Thursday,4,2011
2011-04-26,20666.41,58,14070,Tuesday,4,2011
2011-04-27,21950.7,60,17539,Wednesday,4,2011
2011-04-28,21323.29,55,13122,Thursday,4,2011
2011-05-01,6973.66,18,3819,Sunday,5,2011
2011-05-03,20767.66,58,11145,Tuesday,5,2011
2011-05-04,27532.0,62,17381,Wednesday,5,2011
2011-05-05,25232.670000000002,82,16231,Thursday,5,2011
2011-05-06,30786.7,77,18287,Friday,5,2011
2011-05-08,18867.4,63,10702,Sunday,5,2011
2011-05-09,21624.41,63,11682,Monday,5,2011
2011-05-10,29870.7,70,16399,Tuesday,5,2011
2011-05-11,30956.2,72,17091,Wednesday,5,2011
2011-05-12,57410.56,83,36597,Thursday,5,2011
2011-05-13,25885.83,67,13294,Friday,5,2011
2011-05-15,9680.05,30,4771,Sunday,5,2011
2011-05-16,32518.7,64,14655,Monday,5,2011
2011-05-17,45230.090000000004,72,25005,Tuesday,5,2011
2011-05-18,32882.87,71,18637,Wednesday,5,2011
2011-05-19,31553.510000000002,92,17180,Thursday,5,2011
2011-05-20,25489.66,69,15129,Friday,5,2011
2011-05-22,22531.09,61,12549,Sunday,5,2011
2011-05-23,27689.53,62,14831,Monday,5,2011
2011-05-24,20168.600000000002,60,10666,Tuesday,5,2011
2011-05-25,20492.93,59,11481,Wednesday,5,2011
2011-05-26,28310.82,61,14470,Thursday,5,2011
2011-05-27,18067.32,55,10539,Friday,5,2011
2011-05-29,7394.3,24,4124,Sunday,5,2011
2011-05-31,18194.65,51,10607,Tuesday,5,2011
2011-06-01,15390.89,37,9580,Wednesday,6,2011
2011-06-02,28104.56,42,13714,Thursday,6,2011
2011-06-03,12589.22,39,6792,Friday,6,2011
2011-06-05,25639.54,67,13501,Sunday,6,2011
2011-06-06,16290.98,56,9142,Monday,6,2011
2011-06-07,22908.74,70,15422,Tuesday,6,2011
2011-06-08,30192.13,82,18833,Wednesday,6,2011
2011-06-09,26422.38,81,23594,Thursday,6,2011
2011-06-10,19275.12,43,9773,Friday,6,2011
2011-06-12,12472.210000000001,38,9488,Sunday,6,2011
2011-06-13,18498.71,52,10304,Monday,6,2011
2011-06-14,22755.63,51,10896,Tuesday,6,2011
2011-06-15,43085.54,50,29050,Wednesday,6,2011
2011-06-16,31396.97,81,19373,Thursday,6,2011
2011-06-17,19059.23,46,11349,Friday,6,2011
2011-06-19,22442.18,60,15081,Sunday,6,2011
2011-06-20,26136.73,59,14873,Monday,6,2011
2011-06-21,19850.66,48,13127,Tuesday,6,2011
2011-06-22,21170.420000000002,57,15291,Wednesday,6,2011
2011-06-23,22556.81,69,14030,Thursday,6,2011
2011-06-24,16021.710000000001,45,9067,Friday,6,2011
2011-06-26,7082.49,26,3786,Sunday,6,2011
2011-06-27,13412.2,35,9163,Monday,6,2011
2011-06-28,30532.37,49,20926,Tuesday,6,2011
2011-06-29,12570.630000000001,39,7469,Wednesday,6,2011
2011-06-30,25433.96,64,14913,Thursday,6,2011
2011-07-01,12189.29,42,7454,Friday,7,2011
2011-07-03,6032.39,25,3117,Sunday,7,2011
2011-07-04,15003.17,35,8450,Monday,7,2011
2011-07-05,25992.260000000002,64,17634,Tuesday,7,2011
2011-07-06,22960.48,66,17816,Wednesday,7,2011
2011-07-07,27893.66,73,17654,Thursday,7,2011
2011-07-08,17558.3,46,10165,Friday,7,2011
2011-07-10,5993.87,24,4255,Sunday,7,2011
2011-07-11,20080.03,48,14139,Monday,7,2011
2011-07-12,16642.59,44,11029,Tuesday,7,2011
2011-07-13,19432.85,56,15284,Wednesday,7,2011
2011-07-14,30794.510000000002,69,16994,Thursday,7,2011
2011-07-15,11857.300000000001,37,6379,Friday,7,2011
2011-07-17,16958.6,50,10831,Sunday,7,2011
2011-07-18,22018.36,46,12712,Monday,7,2011
2011-07-19,46599.08,62,28409,Tuesday,7,2011
2011-07-20,26086.97,52,15042,Wednesday,7,2011
2011-07-21,29350.71,70,18885,Thursday,7,2011
